PID,Country,Age,Gender,Counterbalance,Video_Gender,Smart,Behave,Grades,Edu_asp,nationality,nationality_other,origin,origin_other,parent,employment,employment_other,occupation,occupation_other,ethnicity,ethnicity_other,Education,SES,income_annual,,
N300,1,66,Female,2,2,0,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Full-time,,Government,,Caucasian,,Associate's degree or Certificate/Diploma,5,"$75,000 - $95,999",,
N312,1,19,Female,2,1,0,1,0,High/Secondary school,United States of America,,United States of America,,No,Full-time,,Service,,Caucasian,,High/Secondary school,6,"$23,000  - $42,999",,
R106,1,31,Male,1,2,0,1,0,High/Secondary school,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Other,Mixed ,Some college/university,2,"Less than $22,999",,
R126,1,19,Male,2,1,0,1,1,High/Secondary school,United States of America,,United States of America,,No,Other,part-time National Guard soldier and full-time student,"Student,Other (please specify)",military,Caucasian,,Associate's degree or Certificate/Diploma,7,"$23,000  - $42,999",,
R128,1,31,Male,2,2,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),,"Caucasian,Latinx/Hispanic",,Associate's degree or Certificate/Diploma,5,"$43,000  - $74,999",,
R131,1,24,Male,2,1,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Part-time,,Sales and office,,African,,Bachelor's degree or Honors degree,5,"Less than $22,999",,
R59,1,43,Female,1,1,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,Some college/university,1,"$43,000  - $74,999",,
R81,1,26,Female,2,2,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Unemployed,,Other (please specify),Seller,Caucasian,,High/Secondary school,6,I don't know,,
R88,1,32,Male,2,2,0,1,1,Some college/university,United States of America,,United States of America,,No,Full-time,,Sales and office,,Caucasian,,High/Secondary school,1,"$23,000  - $42,999",,
R89,1,62,Female,2,2,0,1,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,2,"Less than $22,999",,
R98,1,51,Male,1,1,0,1,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Unemployed,,"Management, professional, and related",,Caucasian,,High/Secondary school,5,"Less than $22,999",,
R99,1,33,Male,2,1,0,1,1,PhD or other higher postgraduate degrees,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,Some college/university,3,"Less than $22,999",,
120,1,62,Female,1,1,0,1,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Retired,,Retired,,Asian,,Master's degree,5,"$43,000 - $74,999",,
128,1,63,Female,2,1,0,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,4,"Less than $22,999",,
136,1,56,Male,2,1,0,1,0,Some college/university,United States of America,,United States of America,,Yes,Other,Disabled,Other (please specify),Disabled,Caucasian,,Associate's degree or Certificate/Diploma,2,"Less than $22,999",,
143,1,61,Male,2,2,0,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Full-time,,Sales and office,,African,,Some college/university,4,"$23,000 - $42,999",,
N302,1,56,Female,1,2,0,1,0,PhD or other higher postgraduate degrees,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Master's degree,8,"$75,000 - $95,999",,
N313,1,18,Female,2,1,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Student,,Student,,"Caucasian,Latinx/Hispanic",,Some college/university,6,"Less than $22,999",,
R75,1,69,Female,1,1,0,1,0,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Unemployed,,Caucasian,,Associate's degree or Certificate/Diploma,8,"$43,000  - $74,999",,
R76,1,71,Female,2,2,0,1,0,Some college/university,United States of America,,United States of America,,No,Part-time,,"Management, professional, and related",,Caucasian,,Some college/university,4,"$23,000  - $42,999",,
126,1,64,Female,1,1,0,1,1,Master's degree,United States of America,,United States of America,,Yes,Retired,,Retired,,African,,Some college/university,3,"$23,000 - $42,999",,
138,1,58,Male,1,2,0,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,High/Secondary school,6,"$23,000 - $42,999",,
N220,1,18,Male,2,2,0,1,1,Associate's degree or Certificate/Diploma,"United States of America,United Kingdom",,United States of America,,No,Student,,Student,,Caucasian,,Some college/university,7,"Less than $22,999",,
N258,1,25,Male,1,2,0,1,0,Some college/university,United States of America,,United States of America,,No,Full-time,,Other (please specify),,Caucasian,,Some college/university,6,"$23,000  - $42,999",,
R56,1,54,Female,2,1,0,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,4,"$23,000  - $42,999",,
R84,1,28,Male,2,1,0,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Full-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,5,"$75,000 - $95,999",,
N229,1,18,Male,1,1,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Student,,Student,,"African,Native American",,Some college/university,3,"Less than $22,999",,
N277,1,52,Female,2,1,0,1,0,High/Secondary school,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,5,I don't know,,
R72,1,35,Male,2,1,0,1,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Full-time,,Service,,Caucasian,,Associate's degree or Certificate/Diploma,2,"$23,000  - $42,999",,
R78,1,19,Female,1,2,0,1,0,High/Secondary school,United States of America,,United States of America,,No,Full-time,,Sales and office,,African,,High/Secondary school,10,"$75,000 - $95,999",,
N315,2,45,Male,1,2,0,0,0,Some college/university,Canada,,Canada,,No,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,High/Secondary school,5,"$112,000 -  $159,999",,
159,2,60,Male,1,1,0,0,0,Some college/university,Canada,,Canada,,No,Retired,,Retired,,Caucasian,,High/Secondary school,6,"$22,000 - $44,999",,
242,2,71,Male,2,2,0,0,0,Bachelor's degree or Honors degree,Canada,,Other (please specify):,Belarus,Yes,Retired,,Retired,,"Caucasian,Other",Jewish,Master's degree,4,"Less than $21,999",,
246,2,30,Female,1,1,0,0,0,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$79,000 - $111,999",,
272,2,61,Male,2,2,0,0,0,High/Secondary school,Canada,,United Kingdom,,Yes,Part-time,,Other (please specify),Master Clock Maker,Caucasian,,Bachelor's degree or Honors degree,3,"Less than $21,999",,
N341,2,61,Male,2,1,0,0,0,High/Secondary school,Canada,,Canada,,No,Full-time,,Other (please specify),Food and beverage,Caucasian,,High/Secondary school,6,"$22,000  - $44,999",,
N345,2,52,Male,1,1,0,0,0,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,Some college/university,7,"$45,000  - $78,999",,
N348,2,66,Male,1,1,0,0,0,PhD or other higher postgraduate degrees,Canada,,Canada,,Yes,Unemployed,,Unemployed,,Other,Black,Some college/university,5,"$22,000  - $44,999",,
N349,2,86,Male,2,1,0,0,0,Bachelor's degree or Honors degree,Canada,,"Canada,Other (please specify):",India,Yes,Retired,,Retired,,Asian,,Bachelor's degree or Honors degree,7,"$112,000 -  $159,999",,
N358,2,65,Male,1,2,0,0,0,Some college/university,Other (please specify):,Polish,Canada,,No,Retired,,Retired,,"Caucasian,Other",Polish,Some high/secondary school,6,"Less than $21,999",,
N366,2,37,Male,1,2,0,0,0,Some college/university,Canada,,Canada,,Yes,Full-time,,"Production, transportation, and material moving",,Asian,,Some high/secondary school,6,"$79,000 - $111,999",,
N393,2,51,Female,2,1,0,0,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,6,"$45,000  - $78,999",,
R260,2,48,Female,1,1,0,0,0,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,1,"$22,000  - $44,999",,
171,2,40,Male,2,1,0,0,1,Some college/university,Canada,,Other (please specify):,Uzbekistan,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,8,I don't know,,
252,2,39,Female,2,2,0,0,0,Some college/university,Canada,,Canada,,No,Unemployed,,Unemployed,,Caucasian,,Bachelor's degree or Honors degree,5,"$22,000 - $44,999",,
255,2,60,Female,2,2,0,0,0,PhD or other higher postgraduate degrees,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,3,"$45,000 - $78,999",,
N360,2,36,Male,1,1,0,0,0,Associate's degree or Certificate/Diploma,Canada,,Other (please specify):,France,No,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,6,"$45,000  - $78,999",,
R241,2,30,Female,2,1,0,0,0,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$79,000 - $111,999",,
R244,2,41,Male,2,2,0,0,0,Some college/university,Canada,,Canada,,No,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,High/Secondary school,9,"$79,000 - $111,999",,
N371,2,34,Male,1,1,0,0,0,Master's degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Asian,,Master's degree,6,"$79,000 - $111,999",,
266,2,19,Male,1,1,0,0,0,Bachelor's degree or Honors degree,Other (please specify):,India,Other (please specify):,India,No,Student,,Student,,Asian,,High/Secondary school,8,"$22,000 - $44,999",,
177,2,74,Male,1,2,0,1,0,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Other,Disabled,Unemployed,,Caucasian,,Associate's degree or Certificate/Diploma,9,"More than $160,0000",,
203,2,61,Female,1,1,0,1,0,Bachelor's degree or Honors degree,"Canada,Other (please specify):",lebanese,Other (please specify):,Lebanon,Yes,Retired,,Retired,,Middle Eastern,,Master's degree,4,"$22,000 - $44,999",,
206,2,73,Female,1,1,0,1,0,High/Secondary school,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,5,"$45,000 - $78,999",,
217,2,65,Male,1,2,0,1,1,Some college/university,Canada,,Canada,,Yes,Retired,,Retired,,Asian,,Bachelor's degree or Honors degree,5,"$22,000 - $44,999",,
N351,2,69,Male,2,1,0,1,1,Some college/university,Canada,,Canada,,Yes,Part-time,,Other (please specify),Professional driver,Caucasian,,Some college/university,7,"$79,000 - $111,999",,
N370,2,53,Male,2,2,0,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Part-time,,Retired,,Asian,,Associate's degree or Certificate/Diploma,7,"$79,000 - $111,999",,
R228,2,30,Male,1,2,0,1,1,Associate's degree or Certificate/Diploma,Other (please specify):,lebanese,Other (please specify):,Lebanon,Yes,Full-time,,Sales and office,,Middle Eastern,,Associate's degree or Certificate/Diploma,3,"$22,000  - $44,999",,
R248,2,66,Male,2,1,0,1,1,PhD or other higher postgraduate degrees,Canada,,Canada,,Yes,Part-time,,Sales and office,,Asian,,Bachelor's degree or Honors degree,8,"$45,000  - $78,999",,
R251,2,68,Female,1,1,0,1,0,PhD or other higher postgraduate degrees,"Canada,United Kingdom",,Canada,,Yes,Full-time,,"Management, professional, and related,Government",,Caucasian,,Bachelor's degree or Honors degree,8,"$112,000 -  $159,999",,
166,2,45,Male,2,1,0,1,0,Master's degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related,Sales and office",,Caucasian,,Some college/university,5,"$45,000 - $78,999",,
167,2,29,Male,2,2,0,1,0,High/Secondary school,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"$79,000 - $111,999",,
176,2,31,Male,1,2,0,1,1,High/Secondary school,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,7,"$79,000 - $111,999",,
182,2,40,Female,2,2,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Unemployed,,Unemployed,,Caucasian,,Associate's degree or Certificate/Diploma,7,I don't know,,
196,2,72,Female,2,1,0,1,1,Some college/university,Canada,,Canada,,No,Retired,,Retired,,Caucasian,,Some college/university,6,"Less than $21,999",,
205,2,47,Male,2,2,0,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Caucasian,,Some college/university,6,"$45,000 - $78,999",,
223,2,60,Female,2,1,0,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,2,"$22,000 - $44,999",,
238,2,37,Male,1,1,0,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,8,"$79,000 - $111,999",,
253,2,24,Female,1,2,0,1,0,PhD or other higher postgraduate degrees,Canada,,Canada,,No,Unemployed,,Unemployed,,Caucasian,,Some high/secondary school,3,"Less than $21,999",,
256,2,47,Male,1,1,0,1,1,Master's degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,PhD or other higher postgraduate degrees,8,"More than $160,0000",,
273,2,48,Male,2,2,0,1,1,Some college/university,Canada,,Other (please specify):,India,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,6,"$45,000 - $78,999",,
280,2,27,Female,1,1,0,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,Other (please specify),Artist,Caucasian,,Associate's degree or Certificate/Diploma,7,"Less than $21,999",,
291,2,45,Female,2,1,0,1,0,Some college/university,Canada,,Canada,,Yes,Full-time,,Government,,Asian,,High/Secondary school,6,"$22,000 - $44,999",,
N326,2,78,Male,2,1,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,Some college/university,8,"$22,000  - $44,999",,
N333,2,59,Male,2,1,0,1,0,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,6,"$45,000  - $78,999",,
N339,2,57,Male,2,2,0,1,1,Some college/university,Canada,,Canada,,No,Unemployed,,Service,,Caucasian,,Bachelor's degree or Honors degree,4,"Less than $21,999",,
N343,2,33,Male,2,1,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,"Caucasian,Latinx/Hispanic,Asian",,Bachelor's degree or Honors degree,6,"$112,000 -  $159,999",,
N353,2,45,Male,1,2,0,1,1,High/Secondary school,Canada,,Canada,,No,Full-time,,Other (please specify),Arts and recreation,Caucasian,,Some college/university,5,"$79,000 - $111,999",,
N357,2,65,Male,1,2,0,1,0,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,6,"$45,000  - $78,999",,
N362,2,37,Male,1,2,0,1,1,Master's degree,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Asian,,Master's degree,7,"$112,000 -  $159,999",,
N404,2,42,Female,2,1,0,1,1,Master's degree,"United States of America,Canada",,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,10,"More than $160,0000",,
N406,2,55,Female,2,2,0,1,0,Some college/university,Canada,,Canada,,No,Full-time,,Other (please specify),custodial and maintenance ,Other,mixed ,High/Secondary school,1,"$45,000  - $78,999",,
R216,2,49,Female,1,1,0,1,0,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,5,"$112,000 -  $159,999",,
R220,2,48,Female,1,1,0,1,1,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Unemployed,,Unemployed,,Caucasian,,Associate's degree or Certificate/Diploma,9,"$22,000  - $44,999",,
R224,2,24,Female,1,2,0,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Other,Home maker,Other (please specify),Homemaker,Caucasian,,Associate's degree or Certificate/Diploma,5,I don't know,,
158,2,30,Female,1,1,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,"African,Aboriginal Australian,Caucasian,Native American",,PhD or other higher postgraduate degrees,9,"More than $160,0000",,
168,2,27,Male,2,1,0,1,0,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Unemployed,,Unemployed,,Asian,,High/Secondary school,3,"Less than $21,999",,
224,2,70,Female,1,1,0,1,0,Bachelor's degree or Honors degree,"Canada,United Kingdom",,Canada,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"Less than $21,999",,
281,2,62,Female,2,1,0,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,Some high/secondary school,2,"$22,000 - $44,999",,
298,2,29,Female,2,1,0,1,0,Associate's degree or Certificate/Diploma,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,7,"$79,000 - $111,999",,
N324,2,58,Male,2,2,0,1,0,Some college/university,Canada,,Canada,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,2,"Less than $21,999",,
N386,2,30,Female,2,2,0,1,0,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,6,I don't know,,
N395,2,38,Female,1,2,0,1,1,Some college/university,Canada,,Canada,,Yes,Full-time,,Government,,Caucasian,,Master's degree,6,"$112,000 -  $159,999",,
N398,2,46,Female,1,2,0,1,1,PhD or other higher postgraduate degrees,Canada,,Canada,,No,Part-time,,Other (please specify),,Caucasian,,Associate's degree or Certificate/Diploma,3,"$22,000  - $44,999",,
