"Age","Gender","Country","Video_Gender","parent","Education","PID","SES","Edu_asp","income_annual","occupation","Trait","Conformity_pref","Trait_why","Why"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Smart",1,"Behave_reason","Irrelevant"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Smart",1,"Grades_reason","Cognitive"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Behave",1,"Smart_reason","Normative"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Behave",1,"Behave_reason","Irrelevant"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Behave",1,"Grades_reason","Cognitive"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Grades",1,"Smart_reason","Normative"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Grades",1,"Behave_reason","Irrelevant"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Grades",1,"Grades_reason","Cognitive"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Smart",1,"Smart_reason","Irrelevant"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Smart",1,"Behave_reason","Null"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Smart",1,"Grades_reason","Cognitive"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Behave",1,"Smart_reason","Irrelevant"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Behave",1,"Behave_reason","Null"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Behave",1,"Grades_reason","Cognitive"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Grades",1,"Smart_reason","Irrelevant"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Grades",1,"Behave_reason","Null"
47,"Male","US","2","0",1,"111",6,3,"$43,000 - $74,999","Production, transportation, and material moving","Grades",1,"Grades_reason","Cognitive"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Smart",1,"Smart_reason","Cognitive"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Smart",1,"Behave_reason","Behavioral"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Smart",1,"Grades_reason","Normative"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Behave",1,"Smart_reason","Cognitive"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Behave",1,"Behave_reason","Behavioral"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Behave",1,"Grades_reason","Normative"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Grades",1,"Smart_reason","Cognitive"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Grades",1,"Behave_reason","Behavioral"
49,"Female","US","1","0",3,"112",7,5,"1","Management, professional, and related","Grades",1,"Grades_reason","Normative"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Smart",1,"Smart_reason","Null"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Smart",1,"Behave_reason","Normative"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Smart",1,"Grades_reason","Cognitive"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Behave",1,"Smart_reason","Null"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Behave",1,"Behave_reason","Normative"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Behave",1,"Grades_reason","Cognitive"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Grades",1,"Smart_reason","Null"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Grades",1,"Behave_reason","Normative"
48,"Female","US","2","0",1,"114",5,2,"1","Unemployed","Grades",1,"Grades_reason","Cognitive"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Smart",1,"Smart_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Smart",1,"Behave_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Smart",1,"Grades_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Behave",0,"Smart_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Behave",0,"Behave_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Behave",0,"Grades_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Grades",0,"Smart_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Grades",0,"Behave_reason","Null"
27,"Female","US","2","1",3,"115",7,6,"2","Sales and office","Grades",0,"Grades_reason","Null"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Smart",0,"Smart_reason","Behavioral"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Smart",0,"Behave_reason","Null"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Smart",0,"Grades_reason","Null"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Behave",0,"Smart_reason","Behavioral"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Behave",0,"Behave_reason","Null"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Behave",0,"Grades_reason","Null"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Grades",0,"Smart_reason","Behavioral"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Grades",0,"Behave_reason","Null"
53,"Female","US","2","0",1,"116",1,6,"1","Unemployed","Grades",0,"Grades_reason","Null"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Smart",0,"Smart_reason","Cognitive"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Smart",0,"Behave_reason","Behavioral"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Smart",0,"Grades_reason","Normative"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Behave",1,"Smart_reason","Cognitive"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Behave",1,"Behave_reason","Behavioral"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Behave",1,"Grades_reason","Normative"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Grades",1,"Smart_reason","Cognitive"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Grades",1,"Behave_reason","Behavioral"
58,"Female","US","2","0",3,"118",6,3,"$43,000 - $74,999","Management, professional, and related","Grades",1,"Grades_reason","Normative"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Smart",0,"Smart_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Smart",0,"Behave_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Smart",0,"Grades_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Behave",1,"Smart_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Behave",1,"Behave_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Behave",1,"Grades_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Grades",0,"Smart_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Grades",0,"Behave_reason","Cognitive"
62,"Female","US","1","0",4,"120",5,5,"$43,000 - $74,999","Retired","Grades",0,"Grades_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Smart",1,"Smart_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Smart",1,"Behave_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Smart",1,"Grades_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Behave",1,"Smart_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Behave",1,"Behave_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Behave",1,"Grades_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Grades",1,"Smart_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Grades",1,"Behave_reason","Cognitive"
28,"Female","US","2","0",2,"122",8,3,"2","Production, transportation, and material moving","Grades",1,"Grades_reason","Cognitive"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Smart",1,"Smart_reason","Cognitive"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Smart",1,"Behave_reason","Normative"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Smart",1,"Grades_reason","Cognitive"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Behave",1,"Smart_reason","Cognitive"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Behave",1,"Behave_reason","Normative"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Behave",1,"Grades_reason","Cognitive"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Grades",1,"Smart_reason","Cognitive"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Grades",1,"Behave_reason","Normative"
58,"Female","US","2","1",3,"123",5,2,"4","Other (please specify)","Grades",1,"Grades_reason","Cognitive"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Smart",1,"Smart_reason","Normative"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Smart",1,"Behave_reason","Behavioral"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Smart",1,"Grades_reason","Cognitive"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Behave",1,"Smart_reason","Normative"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Behave",1,"Behave_reason","Behavioral"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Behave",1,"Grades_reason","Cognitive"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Grades",1,"Smart_reason","Normative"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Grades",1,"Behave_reason","Behavioral"
57,"Female","US","2","0",3,"124",4,2,"1","Other (please specify)","Grades",1,"Grades_reason","Cognitive"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Smart",0,"Smart_reason","Cognitive"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Smart",0,"Behave_reason","Null"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Smart",0,"Grades_reason","Normative"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Behave",1,"Smart_reason","Cognitive"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Behave",1,"Behave_reason","Null"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Behave",1,"Grades_reason","Normative"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Grades",1,"Smart_reason","Cognitive"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Grades",1,"Behave_reason","Null"
64,"Female","US","1","1",2,"126",3,6,"2","Retired","Grades",1,"Grades_reason","Normative"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Smart",0,"Smart_reason","Behavioral"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Smart",0,"Behave_reason","Personality"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Smart",0,"Grades_reason","Behavioral"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Behave",0,"Smart_reason","Behavioral"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Behave",0,"Behave_reason","Personality"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Behave",0,"Grades_reason","Behavioral"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Grades",0,"Smart_reason","Behavioral"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Grades",0,"Behave_reason","Personality"
51,"Female","US","1","0",3,"127",8,4,"1","Other (please specify)","Grades",0,"Grades_reason","Behavioral"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Smart",0,"Smart_reason","Behavioral"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Smart",0,"Behave_reason","Cognitive"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Smart",0,"Grades_reason","Cognitive"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Behave",1,"Smart_reason","Behavioral"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Behave",1,"Behave_reason","Cognitive"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Behave",1,"Grades_reason","Cognitive"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Grades",1,"Smart_reason","Behavioral"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Grades",1,"Behave_reason","Cognitive"
63,"Female","US","1","1",1,"128",4,2,"1","Retired","Grades",1,"Grades_reason","Cognitive"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Smart",0,"Smart_reason","Behavioral"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Smart",0,"Behave_reason","Null"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Smart",0,"Grades_reason","Null"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Behave",0,"Smart_reason","Behavioral"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Behave",0,"Behave_reason","Null"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Behave",0,"Grades_reason","Null"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Grades",0,"Smart_reason","Behavioral"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Grades",0,"Behave_reason","Null"
56,"Male","US","2","1",1,"134",4,4,"1","Unemployed","Grades",0,"Grades_reason","Null"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Smart",1,"Smart_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Smart",1,"Behave_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Smart",1,"Grades_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Behave",1,"Smart_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Behave",1,"Behave_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Behave",1,"Grades_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Grades",1,"Smart_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Grades",1,"Behave_reason","Behavioral"
50,"Male","US","1","1",3,"135",5,6,"$43,000 - $74,999","Other (please specify)","Grades",1,"Grades_reason","Behavioral"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Smart",0,"Smart_reason","Cognitive"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Smart",0,"Behave_reason","Normative"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Smart",0,"Grades_reason","Cognitive"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Behave",1,"Smart_reason","Cognitive"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Behave",1,"Behave_reason","Normative"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Behave",1,"Grades_reason","Cognitive"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Grades",0,"Smart_reason","Cognitive"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Grades",0,"Behave_reason","Normative"
56,"Male","US","1","1",3,"136",2,3,"1","Other (please specify)","Grades",0,"Grades_reason","Cognitive"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Smart",0,"Smart_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Smart",0,"Behave_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Smart",0,"Grades_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Behave",1,"Smart_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Behave",1,"Behave_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Behave",1,"Grades_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Grades",1,"Smart_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Grades",1,"Behave_reason","Null"
58,"Male","US","2","0",1,"138",6,2,"2","Retired","Grades",1,"Grades_reason","Null"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Smart",0,"Smart_reason","Normative"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Smart",0,"Behave_reason","Irrelevant"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Smart",0,"Grades_reason","Normative"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Behave",0,"Smart_reason","Normative"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Behave",0,"Behave_reason","Irrelevant"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Behave",0,"Grades_reason","Normative"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Grades",0,"Smart_reason","Normative"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Grades",0,"Behave_reason","Irrelevant"
63,"Male","US","1","1",2,"139",6,2,"$43,000 - $74,999","Retired","Grades",0,"Grades_reason","Normative"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Smart",1,"Smart_reason","Behavioral"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Smart",1,"Behave_reason","Normative"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Smart",1,"Grades_reason","Behavioral"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Behave",1,"Smart_reason","Behavioral"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Behave",1,"Behave_reason","Normative"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Behave",1,"Grades_reason","Behavioral"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Grades",1,"Smart_reason","Behavioral"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Grades",1,"Behave_reason","Normative"
35,"Female","US","1","1",3,"14",8,5,"5","Management, professional, and related","Grades",1,"Grades_reason","Behavioral"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Smart",0,"Smart_reason","Cognitive"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Smart",0,"Behave_reason","Normative"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Smart",0,"Grades_reason","Normative"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Behave",1,"Smart_reason","Cognitive"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Behave",1,"Behave_reason","Normative"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Behave",1,"Grades_reason","Normative"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Grades",1,"Smart_reason","Cognitive"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Grades",1,"Behave_reason","Normative"
61,"Male","US","2","0",2,"143",4,5,"2","Sales and office","Grades",1,"Grades_reason","Normative"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Smart",0,"Smart_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Smart",0,"Behave_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Smart",0,"Grades_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Behave",0,"Smart_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Behave",0,"Behave_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Behave",0,"Grades_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Grades",0,"Smart_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Grades",0,"Behave_reason","Null"
19,"Female","US","2","0",1,"145",5,5,"5","Unemployed","Grades",0,"Grades_reason","Null"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Smart",0,"Smart_reason","Normative"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Smart",0,"Behave_reason","Null"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Smart",0,"Grades_reason","Normative"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Behave",1,"Smart_reason","Normative"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Behave",1,"Behave_reason","Null"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Behave",1,"Grades_reason","Normative"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Grades",1,"Smart_reason","Normative"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Grades",1,"Behave_reason","Null"
64,"Female","US","2","1",2,"146",6,5,"1","Retired","Grades",1,"Grades_reason","Normative"
26,"Female","US","2","0",1,"149",5,3,"1","Sales and office,Unemployed","Smart",1,"Smart_reason","Null"
